Reporting country (Name),Partner country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[2019],S
Madagascar,France,"Cuttlefish and squid, prepared or preserved",Imports,Tonnes – net product weight,Tonnes – net product weight,0.15,
Madagascar,France,"Cuttlefishes and squids, frozen, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,26.46,
Madagascar,France,"Cuttlefishes and squids, frozen, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,1.25,
Madagascar,France,"Cuttlefishes and squids, live, fresh or chilled, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,3.33,
Madagascar,France,"Fish dried, whether or not salted, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,2.98,
Madagascar,France,"Fish dried, whether or not salted, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,3.17,
Madagascar,France,"Fish fillets, fresh or chilled, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,65.23,
Madagascar,France,"Fish fillets, fresh or chilled, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,2.46,
Madagascar,France,"Fish fillets, frozen, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,83.38,
Madagascar,France,"Fish fillets, frozen, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,0.53,
Madagascar,France,"Fish heads, tails, maws, tongues, nei frozen",Exports,Tonnes – net product weight,Tonnes – net product weight,4.03,
Madagascar,France,"Fish live, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,0.04,
Madagascar,France,"Fish liver oils, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,0.04,
Madagascar,France,"Fish meat, whether or not minced nei, fresh or chilled",Exports,Tonnes – net product weight,Tonnes – net product weight,0,
Madagascar,France,"Fish meat, whether or not minced, frozen, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,31.27,
Madagascar,France,"Fish meat, whether or not minced, frozen, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,0.12,
Madagascar,France,"Fish nei, salted or in brine",Imports,Tonnes – net product weight,Tonnes – net product weight,0.59,
Madagascar,France,"Fish nei, smoked",Imports,Tonnes – net product weight,Tonnes – net product weight,0.04,
Madagascar,France,"Fish waste, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,0,
Madagascar,France,"Fish, fresh or chilled, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,183.69,
Madagascar,France,"Fish, frozen, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,196.57,
Madagascar,France,"Fishmeals, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,0.01,
Madagascar,France,"Fishmeals, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,2.92,
Madagascar,France,"Flatfish nei, fillets, fresh or chilled",Imports,Tonnes – net product weight,Tonnes – net product weight,0.02,
Madagascar,France,"Flatfish nei, frozen",Exports,Tonnes – net product weight,Tonnes – net product weight,3.93,
Madagascar,France,"Flatfish nei, frozen",Imports,Tonnes – net product weight,Tonnes – net product weight,0.12,
Madagascar,France,"Flatfish, fresh or chilled, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,8.81,
Madagascar,France,"Gadiformes nei, frozen",Exports,Tonnes – net product weight,Tonnes – net product weight,147.1,
Madagascar,France,"Gadiformes, fillets, dried, salted or in brine, not smoked",Imports,Tonnes – net product weight,Tonnes – net product weight,0,
Madagascar,France,"Herring, salted or in brine",Imports,Tonnes – net product weight,Tonnes – net product weight,0.17,
Madagascar,France,"Herrings nei, smoked",Imports,Tonnes – net product weight,Tonnes – net product weight,0.02,
Madagascar,France,"Herrings prepared or preserved, not minced, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,1.41,
Madagascar,France,"Indian mackerels, seerfishes, jacks, crevalles, silver pomfrets, Pacific saury, scads, capelin, Kawakawa, bonitos, marlins, sailfishes, spearfish, fresh or chilled",Exports,Tonnes – net product weight,Tonnes – net product weight,2.85,
Madagascar,France,"Livers, roes, milt, frozen",Exports,Tonnes – net product weight,Tonnes – net product weight,0,
Madagascar,France,"Lobster tails or meat, prep. or pres.",Imports,Tonnes – net product weight,Tonnes – net product weight,0.08,
