Country (Name),FAOSTAT group (Name),Element (Name),Unit (Name),[1961],S,[1962],S,[1963],S,[1964],S,[1965],S,[1966],S,[1967],S,[1968],S,[1969],S,[1970],S,[1971],S,[1972],S,[1973],S,[1974],S,[1975],S,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S
Madagascar,Freshwater & diadromous fish,Production,Tonnes - live weight,25000,,27000,,31900,,39000,,36000,,37000,,41000,,45800,,33900,,35100,,36900,,38000,,39100,,40300,,41500,,41504,,41509,,41513,,41527,,38017,,38592,,37127,,35468,,32500,,34120,,40000,,40000,,40002,,30215,,30230,,27660,,29085,,31499,,32887,,33177,,32650,,36105,,32011,,32325,,32480,,32350,,32400,,32460,,34060,,35320,,35520,,35460,,35460,,35678,,38380,,34265,,30630,,26769,,25773,,29780,,34861,,41383,
Madagascar,Freshwater & diadromous fish,Stock variations,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Madagascar,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,24747.06,,26644.44,,31547.62,,38646.15,,35745.83,,36448,,40550,,44996.77,,33347.83,,34550,,36448,,37550,,38590,,39664.04,,39795.8,,41504,,41509,,41513,,41527,,38017,,38592,,37127,,35468,,32500,,34120,,40000,,40000,,40002,,30215,,30230,,27654,,29075,,31481,,32878,,33172.11,,32638,,36096,,31893.86,,32249.6,,32182.91,,31671.02,,32211.56,,32282.13,,33727.54,,34929.26,,35412,,35405.22,,35438.25,,35643.93,,38362.93,,34215.92,,30547.25,,26617.19,,25632.04,,29718.88,,34792.15,,41340.15,
Madagascar,Marine fish nei,Food exports,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1.75,,107.09,,13.5,,90.5,,49.5,,91.27,,133.96,,264,,313,,647,,583,,13618,,15958,,21026,,25047,,25155.23,,10873.4,,23260,,23989.5,,17925.24,,26787.54,,24773.62,,38735.68,,32953.04,,16979.17,,30713.7,,22489.12,,13932.25,,11326.74,,18954.49,,20698.67,,13768.2,,13781.83,,18317.7,,18201.73,,15312.91,,16872.44,
Madagascar,Marine fish nei,Food imports,Tonnes - live weight,0,...,100,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1.75,,3.51,,3.51,,36.84,,95.74,,209.88,,45.61,,14.04,,80.7,,259.65,,226.32,,175.44,,471.93,,459.65,,55.39,,26.75,,19.25,,3.5,,199.86,,6.97,,78.23,,12.28,,10.76,,9.76,,21.21,,68.71,,75.42,,21.68,,19.23,,106.42,,16.43,,14.55,,18.22,,21.71,,34.78,,178.71,,18.04,,10.27,,13.01,,21.9,,27.75,,32.47,
Madagascar,Marine fish nei,Non-food uses,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,5790,,5000,,6370,,9780,,9780,,2900,,3350,,3901,,2001,,1001,,1000,,1501,,1251,,2001,,4230,,2750,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Madagascar,Marine fish nei,Production,Tonnes - live weight,2110,,1770,,2527,,2981,,3534,,4982,,4537,,4590,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,3789,,13073,,18163,,17594,,25637,,31322,,40567,,47439,,50434,,45734,,51916,,59783,,53664,,55934,,53626,,55125,,55692,,60313,,60887,,64192,,69143,,68808,,74546,,71948,,72804,,80053,,62495,,71352,,67135,,69700,,55680,,43756,,38343,,53105,,70938,,73937,
Madagascar,Marine fish nei,Stock variations,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Madagascar,Marine fish nei,Total food supply,Tonnes - live weight,2110,,1870,,2527,,2981,,3534,,4982,,4537,,4590,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1.75,,3.51,,3.51,,36.84,,95.74,,208.13,,3727.52,,13073.53,,18153.2,,17804.15,,25772.04,,31363.48,,40774.93,,47585.65,,49842.39,,45177.75,,32527.25,,38828.5,,26467.86,,21113.97,,18769,,41363.88,,29092.76,,32432.26,,40981.97,,36472.17,,43444.8,,28592.99,,40361.19,,53074.25,,37876.73,,54828.43,,48580.97,,60046.97,,48215.29,,49180.03,,41929.84,,29984.44,,20038.3,,34925.17,,55652.85,,57097.03,
Madagascar,Molluscs excl. cephalopods,Food exports,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,79,,59,,90,,106,,61,,141,,77,,187,,98,,169,,82,,318,,312,,431,,344,,395,,162,,345,,209,,240,,299,,293,,313.67,,391,,394,,273,,346,,384,,259,,138,,140,
