Country (Name),ASFIS species (Name),FAO major fishing area (Name),Detailed production source (Name),Unit (Name),[1950],S,[1951],S,[1952],S,[1953],S,[1954],S,[1955],S,[1956],S,[1957],S,[1958],S,[1959],S,[1960],S,[1961],S,[1962],S,[1963],S,[1964],S,[1965],S,[1966],S,[1967],S,[1968],S,[1969],S,[1970],S,[1971],S,[1972],S,[1973],S,[1974],S,[1975],S,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S
Madagascar,Marine crabs nei,"Indian Ocean, Western",Capture production,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,200,,200,,200,,200,,200,,300,,300,,300,,200,,200,,300,,400,,600,,550,,660,,680,,504,,460,E,395,,477,,941,,465,,444,,675,,833,,1020,,1200,,960,,849,,1085,,1300,,1300,,1000,,1000,,1500,,868,,1030,,1347,,1400,,1509,,1500,,1525,,1600,,1370,,1370,,2580,,2019,,3700,,2824,,3909,,4515,,4749,,2908,,6018,,6651,,6249,
Madagascar,Marine fishes nei,"Indian Ocean, Western",Capture production,Tonnes - live weight,550,,536,,417,,396,,272,,141,,10,,275,,210,,531,,847,,710,,70,,427,,181,,2534,,4982,,4137,,3690,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3789,E,13073,,18163,,17594,,25637,,31322,,40567,,47439,,50434,,45734,,51916,,59783,,53664,,55934,,53626,,55125,,55692,,60313,,60887,,64192,,69143,,68808,,74546,,71948,,72804,,80053,,62495,,71352,,67135,,69700,E,55680,E,43756,,38343,E,53105,,70938,,73937,,54039,,43135,
Madagascar,Marine molluscs nei,"Indian Ocean, Western",Capture production,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,200,,0,N,0,N,0,N,0,N,0,N,0,N,0,N,31,,30,E,16,,44,,50,,87,,100,,100,,100,,90,,106,,320,,314,,350,,350,,350,,350,,350,,400,,400,E,400,E,400,E,400,E,400,E,400,E,400,E,400,E,380,E,360,E,340,E,320,E,300,E,290,E,300,E,222,E,1799,,5473,,5221,,7534,,12589,
Madagascar,Marine shells nei,"Indian Ocean, Western",Capture production,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,N,0,N,100,,100,,100,,100,,100,,100,,0,N,0,N,0,N,0,N,0,N,70,,140,,145,,43,,100,E,103,,52,,54,,43,,36,,90,,55,,95,,106,,61,,141,,76,,187,,187,,169,,156,,10,,8,,74,,32,,26,,194,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Madagascar,Marine turtles nei,"Indian Ocean, Western",Capture production,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,23,,31,,30,,27,,30,,30,,30,,30,,25,,25,,25,,20,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...
Madagascar,"Marlins,sailfishes,etc. nei","Indian Ocean, Eastern",Capture production,Tonnes - live weight,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Madagascar,"Marlins,sailfishes,etc. nei","Indian Ocean, Western",Capture production,Tonnes - live weight,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,,0,,10,,5,,5,,3,,3,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
Madagascar,Narrow-barred Spanish mackerel,"Indian Ocean, Western",Capture production,Tonnes - live weight,523,,556,,589,,623,,659,,695,,733,,771,,789,,840,,892,,931,,970,,1011,,1052,,1094,,1137,,1181,,1238,,1300,,1355,,1424,,1427,,1418,,1413,,1492,,1563,,1601,,1663,,1771,,1851,,1942,,2032,,2125,,2214,,2305,,2454,,2150,,2977,,3048,,2052,,2114,,1820,,1649,,2047,,1716,,1691,,1927,,2326,,2947,,3330,,3342,,3200,,3831,,3260,,3649,,4123,,3691,,3924,,3762,,3762,,3762,,3762,,3762,,3762,,3762,,3762,,3762,,3762,,3762,
Madagascar,Natantian decapods nei,"Indian Ocean, Western",Capture production,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,500,,300,,1300,,1000,,1500,,2000,,3300,,4000,,4900,,5000,,4800,,5200,,5400,,6200,,5560,,4930,,4913,,5075,,5261,,5503,,6052,,6685,,7406,,9020,,7707,,7305,,9185,,10192,,9439,,8869,,12279,,9919,,10470,,10755,,11470,,10507,,12127,,11776,,13268,,13314,,11195,,9334,,9382,,16604,,6683,,7330,,6509,,4280,,9934,,13483,E,10344,E,10549,,14569,,19910,,18776,,16708,
Madagascar,Nile crocodile,Africa - Inland waters,Capture production,Number,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1000,,3800,,4000,,2000,E,1204,,1344,,1909,,2800,,2411,,4589,,5814,,6520,,4302,,6606,,9408,,6936,,7300,,4760,,4850,,6660,,5550,,2640,,2450,,0,,0,,0,,0,,3,,154,,500,,0,,0,,0,
